account_index,address,balance,total_value_usd,yesterday_balance,change_24h,AAVE,ETH,LDO,LINK,SKY,UNI,USDC
59554,0x4635055a1134bcc7Ca13A72E9C60d583a77266A7,0.00,934124.66,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3083.34780000
365196,0x50B82f42D51D875b1bfdd946ad27AeE2a6b1AB41,244800.00,922430.66,244800.00,0,0.00000000,547.31750000,0.00000000,0.00000000,0.00000000,0.00000000,9.57071200
14276,0x85d9ba5e2910C080893A828976CD7CA040cEB5a5,40178.90,902882.77,40178.90,0,0.00000000,8.41564305,0.00000000,0.00000000,0.00000000,0.00000000,81725.61595814
688864,0x7aa5002B3FA9158017Fe68236bF071320223968c,70428.40,899271.26,70428.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
576163,0xE284eb30d3Ca55C98cd7a9E80bA795a17eD1Ca4A,1397.20,898096.85,1397.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
367120,0x1030100C6E04d546F852e907416295Bf95372dbE,556000.00,868152.99,556000.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00641300
22196,0xDa0950da3882eF1AE1e41e99eBE31E6b3324c17F,0.00,861076.72,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00931500
37194,0x3ed81E7Ca6e0569eeb02FB78834Eda4B585C6a39,0.00,839978.78,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4974,0xBFaA278d37420DA2cDA6650D867a575Cf667eF4d,640474.17,836825.17,640474.17,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,116.93306300
208313,0x551F45f33404360d3fceB93C26400582CE132802,9806.40,835843.66,9806.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
207160,0x958380861f6f28c8cFc13dA3e72968eaEd5A5c7b,0.00,818540.71,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,27380.72324900
13172,0x0a08b1f666Fedbd56B11910b3143F5d62D48711D,321566.80,816141.00,321566.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
134436,0x3C8E732696f689e95DFC2014ecDA62Aa94a37B7f,87065.40,788473.63,87065.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1296,0xc926dDba8b7617dbC65712F20cF8E1B58B8598D3,542000.01,783546.10,542000.01,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00333118
11927,0x24ab42f365FCff526Ce31aA6b0f4Dc11B8815cAf,410075.00,779484.17,410075.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
33999,0x20109e7C761F7A7F0ed3e87fEd45C0D044fF8e80,239898.02,771601.98,239898.02,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,832428.80540554
90079,0x5a7a017D85Fc1eFdc8bc0B67969c03396F0778f9,7679.00,766076.80,7679.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
525454,0xb86DaD6Ceedd625cb860e6762516f9647F2eF2f3,0.00,764467.17,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00118100
237960,0x2fBE13054BC8db949a9f4042F5b34A91C3de77F3,833000.00,763759.95,833000.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,28788.88106900
103631,0x46473FeB249D97d4d7F9EA59ae55C12941415742,0.00,756730.54,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
225828,0x2A5066887e69BB19201C48EfB6483156c470Bd1F,0.00,748910.17,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00556300
130718,0xCe7734ba0eC06C083a13444564A061CA1045077c,10948.20,748161.59,10948.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
675262,0x07C882C291DB7B1fCB1C3319c05B47c9ca770c29,18337.80,747705.78,18337.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
8150,0x8408203229eC1010690A0D218a2dA91236D43aA4,123291.51,746105.91,123291.51,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,29479.87319600
622,0xfFa9dA7Cc98f3e99ED6dC560E9f1702514BAa26d,0.00,740246.30,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00785200
2536,0xE24430132c014Bd523773AA563Fd497F3da1292e,0.00,739405.81,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00494800
159486,0x2ac4880624DAe9e823874D65E43bfeBa97Fc61b5,5720.65,735423.90,5720.65,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00374582
190113,0xD30588a4E3Cb247A1F1272ee264959BB89f14FC9,42816.40,730237.54,42816.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
225553,0x2BA1222544F5494e9b5afFc1A21324e138db181D,5425.40,725226.09,5425.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
102017,0x0448F8E04e617A0E0c2f8725fD0093e3ddAc9cf6,1351.40,725195.87,1351.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
12639,0xa5Fd942D4bAdBab4FE84a9E10F565dd40d5f15Ff,106134.00,723727.42,106134.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
223925,0x41b39EBE5A122e6BAC448BfEF7e5E342E0649D25,120000.00,719438.47,120000.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83331.09642797
14828,0x3da3B64E63b57Ed4926D4D9836cd08e0FFc830a0,22924.58,719377.89,22924.58,0,0.00000000,12.40900000,0.00000000,0.00000000,0.00000000,0.00000000,17389.67130600
32339,0x976829f97952995dd2be8e2F0cF86a6f84CCdc99,277315.24,717363.96,277315.24,0,0.00000000,278.01136958,0.00000000,0.00000000,0.00000000,0.00000000,35694.27007551
127931,0x6ab615CF8deCFc488186E54066Fc10589C9293A3,32225.40,717145.02,32225.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
34004,0x66b5dF60fe6325809FB82d436867a6d64A1E2a4B,67169.60,716136.69,67169.60,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
242369,0x45163bD8eE38AF73C2D400428596f816279AF79f,0.00,711261.13,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00832100
9296,0x50F49b9fF9e376D8090Ac799ccAFDd750E40b920,0.00,707665.68,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00993800
667723,0x45Db3CB04D73E1d9851614df2774B2bF60cc1036,417.20,703001.54,417.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
633674,0x40463761793D8D229532C750103847B04deeC64E,0.00,700880.49,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00822500
402546,0xA2d611f07e41cc77b716c7C09DC64E4fd048508C,16933.20,699585.23,16933.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
402544,0x290f65f468EC054386226e3CAB56686eaBeA7443,28937.00,693295.21,28937.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
402539,0xD2b1B21742f9e3f7E251BEE78659b808AC5f78f5,17574.40,693067.10,17574.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
402538,0x579d89Ef68591d0c48488c44e754FDf36Df11eb6,18005.00,689695.72,18005.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
314233,0x8555A622EBef977cB58882c714780107D7DCc4E6,0.00,687767.90,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00205485
402549,0xD7b80324d829a0643845C0097d3A595bd846d7c2,27810.00,681801.50,27810.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
70239,0x99Ea758ADcc76804AA79e5DFEb698116a5c6BD6C,15128.00,678985.14,15128.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
128935,0xB8B9E3097c8b1DDdF9C5ea9d48A7eBeaF09D67d2,6306.60,674684.33,6306.60,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
678293,0xFDe32B7E9C97F23d61fD5cf8A44e7Cd3C50602ad,382220.88,673260.92,382220.88,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,337829.66608100
94880,0x6910C590D8503A1f3EF5Ea9b64a5d7C7f3b5FEDa,0.00,672717.69,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00874000
27927,0x667AcBF513Aa97Acd46b0a58A655E9c487972D56,7488.40,669413.17,7488.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
160242,0x8cf051405995581DE2CbBdc9a3E9951325607E18,0.00,662231.74,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6158,0x5b11f988f1B78D991a328Fc60dCe76f726dDF5E9,17569.20,661432.67,17569.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
